Dates,Destination,InviaCode,Operator,MealType,Price,Hotel,Airport,Minute
6.6. - 20.6.,Rhodos,7965,Electra Tours,All Inclusive,23 950 Kč,Labranda Blue Bay Beach,Brno,FM
7.6. - 11.6.,Rhodos,7965,Electra Tours,All Inclusive,11 950 Kč,Labranda Blue Bay Beach,Praha,FM
8.6. - 18.6.,Rhodos,7965,Electra Tours,All Inclusive,19 450 Kč,Labranda Blue Bay Beach,Praha,FM
8.6. - 22.6.,Rhodos,7965,Electra Tours,All Inclusive,24 550 Kč,Labranda Blue Bay Beach,Praha,FM
10.6. - 17.6.,Rhodos,7965,Electra Tours,All Inclusive,14 990 Kč,Labranda Blue Bay Beach,Praha,FM
10.6. - 21.6.,Rhodos,7965,Electra Tours,All Inclusive,21 050 Kč,Labranda Blue Bay Beach,Praha,FM
12.6. - 19.6.,Rhodos,7965,Electra Tours,All Inclusive,17 150 Kč,Labranda Blue Bay Beach,Brno,FM
3.9. - 17.9.,Korfu,27669,Electra Tours,All Inclusive,41 950 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
7.9. - 14.9.,Korfu,27669,Electra Tours,All Inclusive,25 250 Kč,Mitsis Roda Beach Resort & Spa,Brno,FM
9.9. - 16.9.,Korfu,27669,Electra Tours,All Inclusive,24 390 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
10.9. - 21.9.,Korfu,27669,Electra Tours,All Inclusive,33 390 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
11.9. - 18.9.,Korfu,27669,Electra Tours,All Inclusive,23 750 Kč,Mitsis Roda Beach Resort & Spa,Brno,FM
14.9. - 21.9.,Korfu,27669,Electra Tours,All Inclusive,23 390 Kč,Mitsis Roda Beach Resort & Spa,Brno,FM
16.9. - 23.9.,Korfu,27669,Electra Tours,All Inclusive,23 490 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
4.10. - 15.10.,Rhodos,8583,Electra Tours,All Inclusive,17 390 Kč,Lutania Beach,Praha,FM
7.10. - 14.10.,Rhodos,8583,Electra Tours,All Inclusive,13 590 Kč,Lutania Beach,Praha,FM
19.6. - 26.6.,Korfu,46475,Electra Tours,All Inclusive,14 290 Kč,Summertime Apartments,Brno,FM
24.6. - 1.7.,Korfu,46475,Electra Tours,All Inclusive,20 150 Kč,Summertime Apartments,Praha,FM
29.6. - 6.7.,Korfu,46475,Electra Tours,All Inclusive,16 790 Kč,Summertime Apartments,Brno,FM
1.7. - 8.7.,Korfu,46475,Electra Tours,All Inclusive,17 750 Kč,Summertime Apartments,Praha,FM
8.7. - 15.7.,Korfu,46475,Electra Tours,All Inclusive,17 190 Kč,Summertime Apartments,Praha,FM
8.7. - 19.7.,Korfu,46475,Electra Tours,All Inclusive,22 390 Kč,Summertime Apartments,Praha,FM
9.7. - 23.7.,Korfu,46475,Electra Tours,All Inclusive,25 450 Kč,Summertime Apartments,Praha,FM
12.7. - 23.7.,Korfu,46475,Electra Tours,All Inclusive,22 390 Kč,Summertime Apartments,Praha,FM
15.7. - 22.7.,Korfu,46475,Electra Tours,All Inclusive,17 190 Kč,Summertime Apartments,Praha,FM
16.7. - 30.7.,Korfu,46475,Electra Tours,All Inclusive,25 450 Kč,Summertime Apartments,Praha,FM
26.7. - 6.8.,Kréta,36829,Electra Tours,All Inclusive,36 290 Kč,Dessole Dolphin Bay Resort,Praha,FM
27.7. - 10.8.,Kréta,36829,Electra Tours,All Inclusive,43 790 Kč,Dessole Dolphin Bay Resort,Brno,FM
30.7. - 6.8.,Kréta,36829,Electra Tours,All Inclusive,25 750 Kč,Dessole Dolphin Bay Resort,Praha,FM
30.7. - 6.8.,Kréta,36829,Electra Tours,All Inclusive,25 750 Kč,Dessole Dolphin Bay Resort,Brno,FM
30.7. - 13.8.,Kréta,36829,Electra Tours,All Inclusive,42 590 Kč,Dessole Dolphin Bay Resort,Praha,FM
3.8. - 17.8.,Kréta,36829,Electra Tours,All Inclusive,39 150 Kč,Dessole Dolphin Bay Resort,Brno,FM
6.8. - 13.8.,Kréta,36829,Electra Tours,All Inclusive,23 550 Kč,Dessole Dolphin Bay Resort,Praha,FM
6.8. - 13.8.,Kréta,36829,Electra Tours,All Inclusive,23 550 Kč,Dessole Dolphin Bay Resort,Brno,FM
6.8. - 16.8.,Kréta,36829,Electra Tours,All Inclusive,30 490 Kč,Dessole Dolphin Bay Resort,Praha,FM
6.8. - 20.8.,Kréta,36829,Electra Tours,All Inclusive,38 050 Kč,Dessole Dolphin Bay Resort,Praha,FM
10.8. - 24.8.,Kréta,36829,Electra Tours,All Inclusive,38 590 Kč,Dessole Dolphin Bay Resort,Brno,FM
13.8. - 20.8.,Kréta,36829,Electra Tours,All Inclusive,23 550 Kč,Dessole Dolphin Bay Resort,Praha,FM
13.8. - 20.8.,Kréta,36829,Electra Tours,All Inclusive,23 550 Kč,Dessole Dolphin Bay Resort,Brno,FM
4.6. - 18.6.,Rhodos,27706,Electra Tours,All Inclusive,17 550 Kč,Evi,Praha,FM
5.6. - 12.6.,Rhodos,27706,Electra Tours,All Inclusive,12 890 Kč,Evi,Brno,FM
5.6. - 19.6.,Rhodos,27706,Electra Tours,All Inclusive,17 750 Kč,Evi,Brno,FM
6.6. - 13.6.,Rhodos,27706,Electra Tours,All Inclusive,12 350 Kč,Evi,Brno,FM
6.6. - 20.6.,Rhodos,27706,Electra Tours,All Inclusive,17 990 Kč,Evi,Brno,FM
7.6. - 11.6.,Rhodos,27706,Electra Tours,All Inclusive,10 650 Kč,Evi,Praha,FM
8.6. - 18.6.,Rhodos,27706,Electra Tours,All Inclusive,15 050 Kč,Evi,Praha,FM
8.6. - 22.6.,Rhodos,27706,Electra Tours,All Inclusive,18 450 Kč,Evi,Praha,FM
10.6. - 17.6.,Rhodos,27706,Electra Tours,All Inclusive,12 650 Kč,Evi,Praha,FM
10.6. - 21.6.,Rhodos,27706,Electra Tours,All Inclusive,15 950 Kč,Evi,Praha,FM
16.9. - 23.9.,Korfu,21090,Electra Tours,All Inclusive,14 390 Kč,Alkyon,Praha,FM
23.9. - 30.9.,Korfu,21090,Electra Tours,All Inclusive,12 390 Kč,Alkyon,Praha,FM
22.7. - 29.7.,Rhodos,52988,Electra Tours,All Inclusive,23 590 Kč,Sunshine Rhodes,Praha,FM
22.7. - 2.8.,Rhodos,52988,Electra Tours,All Inclusive,31 950 Kč,Sunshine Rhodes,Praha,FM
23.7. - 6.8.,Rhodos,52988,Electra Tours,All Inclusive,39 290 Kč,Sunshine Rhodes,Praha,FM
27.7. - 30.7.,Rhodos,52988,Electra Tours,All Inclusive,16 550 Kč,Sunshine Rhodes,Praha,FM
27.7. - 10.8.,Rhodos,52988,Electra Tours,All Inclusive,39 290 Kč,Sunshine Rhodes,Praha,FM
29.7. - 5.8.,Rhodos,52988,Electra Tours,All Inclusive,23 590 Kč,Sunshine Rhodes,Praha,FM
30.7. - 10.8.,Rhodos,52988,Electra Tours,All Inclusive,32 250 Kč,Sunshine Rhodes,Praha,FM
30.7. - 13.8.,Rhodos,52988,Electra Tours,All Inclusive,39 290 Kč,Sunshine Rhodes,Praha,FM
2.8. - 6.8.,Rhodos,52988,Electra Tours,All Inclusive,19 250 Kč,Sunshine Rhodes,Praha,FM
3.8. - 17.8.,Rhodos,52988,Electra Tours,All Inclusive,40 890 Kč,Sunshine Rhodes,Praha,FM
21.5. - 31.5.,Rhodos,8576,Electra Tours,All Inclusive,13 250 Kč,Loutanis,Praha,FM
21.5. - 3.6.,Rhodos,8576,Electra Tours,All Inclusive,14 750 Kč,Loutanis,Praha,FM
25.5. - 31.5.,Rhodos,8576,Electra Tours,All Inclusive,11 190 Kč,Loutanis,Praha,FM
25.5. - 3.6.,Rhodos,8576,Electra Tours,All Inclusive,12 750 Kč,Loutanis,Praha,FM
25.5. - 8.6.,Rhodos,8576,Electra Tours,All Inclusive,16 250 Kč,Loutanis,Praha,FM
1.6. - 4.6.,Rhodos,8576,Electra Tours,All Inclusive,9 990 Kč,Loutanis,Praha,FM
1.6. - 15.6.,Rhodos,8576,Electra Tours,All Inclusive,16 250 Kč,Loutanis,Praha,FM
2.6. - 9.6.,Rhodos,8576,Electra Tours,All Inclusive,12 590 Kč,Loutanis,Brno,FM
2.6. - 16.6.,Rhodos,8576,Electra Tours,All Inclusive,16 250 Kč,Loutanis,Brno,FM
