Dates,Price,Destination,InviaCode,Operator,MealType
"
							2.6. - 9.6.
							(8 dní)
						",10240,Kreta,43586,Pantour,All Inclusive
"
							28.6. - 5.7.
							(8 dní)
						",30600,Kreta,26087,Fischer 1 - cestovní kancelář,Polopenze
"
							28.6. - 5.7.
							(8 dní)
						",35600,Kreta,26087,Fischer 1 - cestovní kancelář,All Inclusive
"
							12.7. - 19.7.
							(8 dní)
						",35840,Kreta,26087,Fischer 1 - cestovní kancelář,Polopenze
"
							7.5. - 21.5.
							(15 dní)
						",31890,Kreta,8710,Fischer 1 - cestovní kancelář,All Inclusive
"
							14.5. - 21.5.
							(8 dní)
						",19320,Kreta,8710,Fischer 1 - cestovní kancelář,All Inclusive
"
							20.5. - 27.5.
							(8 dní)
						",21040,Kreta,8710,Fischer 1 - cestovní kancelář,All Inclusive
"
							28.5. - 4.6.
							(8 dní)
						",18788,Kreta,7994,Neckermann CZ,All Inclusive
"
							28.5. - 4.6.
							(8 dní)
						",16702,Kreta,7994,Neckermann CZ,Polopenze
"
							28.5. - 11.6.
							(15 dní)
						",25610,Kreta,7994,Neckermann CZ,Polopenze
"
							28.5. - 4.6.
							(8 dní)
						",19290,Kreta,8067,Blue Style,All Inclusive
"
							28.5. - 8.6.
							(12 dní)
						",27990,Kreta,8067,Blue Style,All Inclusive
"
							28.5. - 11.6.
							(15 dní)
						",34390,Kreta,8067,Blue Style,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",12490,Kreta,7884,Pantour,All Inclusive
"
							16.5. - 26.5.
							(11 dní)
						",16990,Kreta,7884,Pantour,All Inclusive
"
							19.5. - 2.6.
							(15 dní)
						",20190,Kreta,7884,Pantour,All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",15790,Kreta,50670,Exim Tours,All Inclusive
"
							28.5. - 4.6.
							(8 dní)
						",15790,Kreta,50670,Exim Tours,All Inclusive
"
							28.5. - 11.6.
							(15 dní)
						",22890,Kreta,50670,Exim Tours,All Inclusive
"
							3.6. - 14.6.
							(12 dní)
						",17912,Kreta,9513,TIP travel,All Inclusive
"
							7.6. - 14.6.
							(8 dní)
						",14712,Kreta,9513,TIP travel,All Inclusive
"
							7.6. - 21.6.
							(15 dní)
						",22804,Kreta,9513,Koala Tours SK,All Inclusive
"
							16.4. - 23.4.
							(8 dní)
						",12490,Kreta,100117,Exim Tours,Polopenze
"
							23.4. - 30.4.
							(8 dní)
						",12490,Kreta,100117,Exim Tours,Polopenze
"
							30.4. - 7.5.
							(8 dní)
						",12690,Kreta,100117,Exim Tours,Polopenze
"
							23.4. - 30.4.
							(8 dní)
						",12990,Kreta,54449,Fischer 3 - spec.produkt,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",12990,Kreta,54449,Fischer 3 - spec.produkt,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",13190,Kreta,54449,Fischer 3 - spec.produkt,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",14790,Kreta,98050,Exim Tours,All Inclusive
